company_name,title,education,career,deadline,skill
(주)소만사,가상화 SW 솔루션(VDI) 기술지원 엔지니어,학력무관,경력 4년↑ · 정규직,2024.12.20,"임베디드,S/W,RA,AUTOSAR,개발PM"
피씨엔오티(주),PLC제어/CS • 전장 제작 • 전장 설계 • S/W 개발자 채용,학력무관,경력 · 정규직 외,2024.12.22,"보안컨설팅,감사,전산회계,계산서발행,관리회계"
(주)테크웨이즈,[㈜테크웨이즈 기술영업 및 기술지원 신입.경력사원 모집,"대학(2,3년)↑",경력 6년↑ · 정규직,2024.12.15,"기술지원,정보보안,SE(시스템엔지니어),솔루션,DLP"
루펜티스(주),[반얀트리 해운대 부산] 신입 및 경력직 공개 채용,고졸↑,신입 · 경력 · 정규직,2024.12.18,"유지보수,머신러닝,알고리즘,영상처리,임베디드"
에이에이씨티(유),[인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.08,"기술지원,네트워크,자율주행,정보통신,와이어샤크"
(주)테크웨이즈,[㈜테크웨이즈] 각 부문별 신입·경력사원 모집,학력무관,신입 · 경력 · 정규직 외,2024.12.18,"유지보수,전산회계,급여(Payroll),원가관리,원가회계"
(주)콤텍시스템,[(주)콤텍시스템] S대기업 계열 고객사 네트워크 엔지니어 채용,학력무관,신입 · 경력 · 정규직,2024.12.18,"백엔드/서버개발,보안컨설팅,유지보수,정보보안,QA/테스터"
(주)소만사,가상화SW솔루션(VDI) 운영관리자(고객사 출퇴근),고졸↑,신입 · 경력 · 정규직,2024.12.08,"기술지원,SE(시스템엔지니어),SI개발,네트워크,솔루션"
아우토크립트(주),Back-End개발자(팀장급),"대학(2,3년)↑",경력 5년↑ · 정규직 외,2024.01.03,"네트워크,정보통신,유지보수,네트워크엔지니어"
(주)에스티에이테스팅컨설팅,시험인증(KOLAS) 기술책임자(팀장급) 인재채용,"대학(2,3년)↑",경력무관 · 계약직,2024.12.15,"기술지원,정보보안,SE(시스템엔지니어),VDI,VMware"
(주)에스티에이테스팅컨설팅,테스트자동화 엔지니어(팀장급) 인재채용,대학교(4년)↑,경력 8년↑ · 정규직,2024.02.03,"백엔드/서버개발,앱개발,네트워크,C#,C++"
아우토크립트(주),윈도우 어플리케이션 개발자(팀장급),"대학(2,3년)↑",경력 8년↑ · 정규직,2024.12.31,"기술지원,데이터분석가,유지보수,IT컨설팅,QA/테스터"
아우토크립트(주),기술지원 리더,"대학(2,3년)↑",경력 8년↑ · 정규직,2024.12.31,"기술지원,데이터분석가,유지보수,IT컨설팅,QA/테스터"
비와이아이엔씨(주),"스마트팩토리 구축 SI 개발자, 전장 설계 공고 (경력직)",대학교(4년)↑,경력 8년↑ · 정규직,2024.02.03,"앱개발,프론트엔드,네트워크,Windows,C#"
비와이아이엔씨(주),"서귀포시 응용SW개발유지보수JAVA,Oracle",대학교(4년)↑,경력 5년↑ · 정규직,2024.02.03,"기술지원,네트워크,임베디드,C++,Java"
(주)피코이노베이션,여의도 전산시스템유지보수(OP장비관리)초중급엔지니어,학력무관,경력 3년↑ · 정규직,2024.12.31,"백엔드/서버개발,앱개발,웹개발,프론트엔드,DBA"
삼양데이타시스템(주),"Java, Spring 개발/물류영업/CS 매니저/영업 제휴/물류관리자","대학(2,3년)↑",3 ~ 5년 · 정규직 외,2024.12.21,"백엔드/서버개발,유지보수,Eclipse,Java,JSP"
(주)케이엠헬스케어,그룹 AD/메일/M365 시스템 운영 인력 채용,"대학(2,3년)↑",1 ~ 5년 · 정규직 외,2024.12.31,"기술지원,유지보수,인프라,클라우드,아키텍쳐"
넷킬러(주),"의료산업 개발자 팀 리더급 인재 채용 (C#, Oracle/MSSQL)",학력무관,신입 · 경력 · 정규직 외,2024.12.14,"데이터엔지니어,백엔드/서버개발,앱개발,웹개발,유지보수"
비와이아이엔씨(주),(IT 넷킬러) 영업팀 영업사무 하반기 정규직 모집,대학교(4년)↑,경력무관 · 계약직,2024.01.18,"네트워크,인프라,DLP,IIS,Windows"
