company_name,company_category,company_place,company_url
(주)소만사,No category,서울 영등포구 영신로 220,http://www.somansa.com
피씨엔오티(주),반도체 제조용 기계 제조업,"경기 화성시 떡전골로 96-4, 702호 (병점동,미라클프라자)",http://www.pcnot.net
(주)테크웨이즈,http://www.techways.co.kr,No address,https://www.youtube.com/watch?v=rvAdUr1V9yM
루펜티스(주),주거용 건물 개발 및 공급업,No address,No homepage URL
에이에이씨티(유),기타 보관 및 창고업,"인천 중구 공항동로295번길 60 (운서동,에이에이씨티 제2화물터미널)",http://service.aact.co.kr/
(주)테크웨이즈,http://www.techways.co.kr,No address,https://www.youtube.com/watch?v=rvAdUr1V9yM
(주)콤텍시스템,컴퓨터 프로그래밍 서비스업,서울 영등포구 가마산로 343,http://www.comtec.co.kr
(주)소만사,시스템 소프트웨어 개발 및 공급업,서울 영등포구 영신로 220,http://www.somansa.com
아우토크립트(주),응용 소프트웨어 개발 및 공급업,"서울 영등포구 여의공원로 115, 지하 1층, 1층, 6층, 7층, 8층 (여의도동,세우빌딩)",http://autocrypt.co.kr
(주)에스티에이테스팅컨설팅,응용 소프트웨어 개발 및 공급업,서울 광진구 자양강변길 115,http://www.sta.co.kr
(주)에스티에이테스팅컨설팅,응용 소프트웨어 개발 및 공급업,서울 광진구 자양강변길 115,http://www.sta.co.kr
아우토크립트(주),응용 소프트웨어 개발 및 공급업,"서울 영등포구 여의공원로 115, 지하 1층, 1층, 6층, 7층, 8층 (여의도동,세우빌딩)",http://autocrypt.co.kr
아우토크립트(주),응용 소프트웨어 개발 및 공급업,"서울 영등포구 여의공원로 115, 지하 1층, 1층, 6층, 7층, 8층 (여의도동,세우빌딩)",http://autocrypt.co.kr
비와이아이엔씨(주),응용 소프트웨어 개발 및 공급업,"서울 송파구 법원로 128, B동 7층 710호",http://www.tncation.com
비와이아이엔씨(주),응용 소프트웨어 개발 및 공급업,"서울 송파구 법원로 128, B동 7층 710호",http://www.tncation.com
(주)피코이노베이션,그 외 기타 분류 안된 운송 관련 서비스업,"서울 서초구 효령로36길 4, 2층 (방배동,제약조합)",https://picoinnov.com/
삼양데이타시스템(주),컴퓨터시스템 통합 자문 및 구축 서비스업,서울 종로구 종로33길 31,http://www.syds.com
(주)케이엠헬스케어,의료용품 도매업,경기 구리시 동구릉로395번길 144,http://www.kmhealthcare.co.kr
넷킬러(주),컴퓨터 프로그래밍 서비스업,"서울 강남구 영동대로 417, 지하1층 (대치동,오토웨이타워)",http://www.netkiller.com
비와이아이엔씨(주),응용 소프트웨어 개발 및 공급업,"서울 송파구 법원로 128, B동 7층 710호",http://www.tncation.com
(주)인티그리트,산업용 로봇 제조업,"서울 강남구 삼성로 547, 5층 (삼성동,비케이타워)",http://integrit.ai
하이엠케이(주),"알루미늄 압연, 압출 및 연신제품 제조업",No address,No homepage URL
